"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "Less", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_stacked.scss", "SCSS", 0, 0, 0, 17, 0, 0, 0, 0, 2, 2, 21
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_variables.scss", "SCSS", 0, 0, 0, 794, 0, 0, 0, 0, 3, 4, 801
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\font-awesome.css", "CSS", 0, 0, 2302, 0, 0, 0, 0, 0, 11, 711, 3024
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\font-awesome.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 4, 2, 19
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\component\table.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 4, 4, 144
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\customer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\customer.js", "JavaScript", 0, 339, 0, 0, 0, 0, 0, 0, 14, 18, 371
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 19
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\office.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\office.js", "JavaScript", 0, 339, 0, 0, 0, 0, 0, 0, 15, 17, 371
